0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
16,海底捞竟也可以点外卖了，和海底捞的自热火锅相比，哪个更实惠呢,4160000,5009000,109000,11000,0,0,0,0,30,
17,试吃法国蓝龙虾，四种吃法清蒸和水煮有什么区别？,4131000,3084000,142000,16000,0,1,0,1,23,
18,试吃330元一只的美国响螺刺身，目前翻车最严重的一期视频。。。,4062000,3084000,103000,10000,1,0,1,0,31,['330元']
19,试吃目前见过最丑的螃蟹【美国棕盒蟹】，成功get新吃法！,4050000,3084000,127000,13000,1,3,0,0,28,
20,小伙买了一台关东煮机，只为享受老板的待遇，一次性直接吃到饱,4046000,5009000,82000,8442,1,0,0,0,29,
21,小伙爱吃火爆鱿鱼，怒买一台铁板烧机，以后在家就可以吃到了,3973000,5009000,114000,8455,1,0,0,0,28,
22,试吃1680一只的烤全羊，脆皮嫩肉也太香了吧，小伙吃了一整只腿,3965000,5009000,149000,14000,1,0,1,0,31,['1680一只']
23,加料100元的奶茶是什么样的？老板直接拿“桶”装！,3964000,1985000,288000,35000,0,2,1,1,25,['100元']
24,试吃比尔盖茨投资的“人造肉”，真的好吃吗，食肉爱好者终极梦想,3962000,5009000,153000,11000,2,0,0,1,30,
25,小伙花1699买的全自动炒菜机，轻轻松松做了五道菜，不用请保姆了,3938000,5009000,89000,12000,1,0,1,0,32,['1699买']
26,3500一只的皇帝蟹，打开之后满满的蟹黄，一口下去好吃到飞起,3929000,5009000,84000,8026,1,0,1,0,30,['3500一只']
27,奇葩小伙嫌一个鸡腿不够吃，裹了20层面包糠再炸，结果半个就吃饱,3876000,5008000,152000,12000,1,0,1,0,31,['20层']
28,被誉为天下第一菜的“佛跳墙”，粤菜师傅用15天时间炮制而成,3626000,804000,122000,48000,0,0,1,0,29,['15天']
29,试吃“象拔蚌刺身”，这长相也太夸张了吧，结果味道竟超好吃,3617000,5009000,96000,13000,4,0,0,0,28,
30,试吃600多一斤的海南特产灵芝蟹，先苦后甜太神奇了！,3587000,3084000,215000,33000,1,1,1,0,26,['600多']
31,小伙想创业在家自制煎饼果子，没想到5块钱一个的煎饼果子这么难,3543000,5009000,81000,5280,1,0,1,0,30,['5块钱']
32,试吃中国最奢侈美食，1800一斤的“黄油蟹”，从来没被坑这么惨过,3532000,5009000,68000,4836,1,0,1,0,32,['1800一斤']
33,试吃新西兰深海小龙虾，四种吃法都爆炸好吃！！！,3475000,3084000,157000,19000,2,3,0,0,23,
34,奇葩小伙买了300盒黄油回来煮火锅，吃完以后竟浑身散发出奶香,3455000,5009000,89000,6047,0,0,1,0,30,['300盒']
35,试吃众多网友推荐的“清道夫”，真好吃吗？三个小伙直接吃自闭了,3419000,5009000,153000,15000,3,1,0,1,30,
36,1000元烧烤整条鳄鱼！美国硬核烧烤怎么样？,3384000,3844000,129000,11000,0,2,1,1,22,['1000元']
37,华农兄弟：搞了一盆兄弟家的小龙虾，直接油炸，很美味哦,3378000,4848000,88000,5358,2,0,0,0,26,
38,试吃法国玫瑰粉钻生蚝，一碰还在动！,3373000,3084000,116000,11000,0,1,0,0,17,
