0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
130,【宠粉特辑】穿jk深蹲硬拉？穿旗袍跳宅舞？这届粉丝这么皮可以反悔么,279000,43000,2257,2559,1,4,0,1,33,
131,60岁大爷晨练看懵了老外！这下再也解释不清中国人都会功夫的事了,276000,21000,2568,418,1,1,1,0,31,['60岁']
132,慎点！看完可能抑郁 虚伪的一面谁都愿意看 真实的东西就被说作  by青云红衅,275000,179000,8222,4216,5,1,0,0,38,
133,最后三天，开始脱钠,273000,21000,1873,566,0,0,0,0,9,
134,130kg哈克，65kg暂停蹲，46kg自行车蹲。看到彩虹分享给各位，希望你们也开心哟～,273000,131000,1537,2543,4,1,0,0,44,
135,我错了！健身咋让我长肚子了？【我健身犯了3个大错误】,271000,1433000,14000,3274,1,4,1,1,26,['3个']
136,橄榄球员都是怪物，这身体素质好像开挂,271000,158000,2286,2384,1,0,0,0,18,
137,#我个男的为什么会看这种视频#p5第一和第二和小哥哥真的超级撩 今天这波视频都是阿婆精心挑选哦，素质三连，谢谢支持(●&#39;◡&#39;●)ﾉ❤,268000,14000,11000,7811,4,2,2,1,74,"['39◡', '39◡']"
138,我蹲了一个小时，就为了看这位韩国小姐姐健身！,267000,148000,654,2350,0,1,0,0,22,
139,「自用」周六野（瘦手臂-改善驼背圆肩-斜方肌拉伸）合集,266000,811,3247,29000,1,2,0,0,27,
140,【毛毛】骨盆前倾 终极版改善教程！末尾有彻底摆脱的秘籍！,266000,96000,12000,36000,2,4,0,0,28,
141,女孩子也会抖胸肌，今日推得训练，卧推53kg，窄推40kg,266000,131000,1764,2364,1,0,0,0,29,
142,【减脂不减肌】手把手教你制定自己的减脂计划！新手必看！|今年夏天搞个大活动～60天夏日挑战EP1,263000,221000,6684,13000,2,6,1,0,48,['60天']
143,【8分钟弹力绳训练】随时随地燃脂增肌!(新手必看),262000,639000,13000,20000,2,3,1,0,25,['8分钟']
144,韩国健身女神Hye Young Kim的日常 多图预警,261000,14000,1019,2647,0,0,0,0,27,
145,【七月新番节操霸权！哲学兄贵小丑？看到崩溃！——《健身少女》硬核追番04】已经失语了……快来吐槽他,260000,464000,20000,4965,1,5,1,1,49,['04】']
146,Clara教你力量训练小鲜肉秒变猛男！,260000,5889,1650,6546,1,1,0,0,19,
147,一个动作练腿又练臀，还可以打造蜜桃臀,256000,265,88,307,0,0,0,0,18,
148,【你真的会波比跳吗？——60s干货】没你想的那么简单啊啊啊！,256000,464000,4881,8282,0,4,0,1,30,
149,两周瘦10kg /（主）男团合集/爱豆减肥舞/韩国Youtube/自用,254000,10000,4085,27000,0,0,0,0,35,
150,健美胸型你值得拥有 Clara Lee,250000,5889,900,4377,2,0,0,0,19,
151,5分钟，开肩美背普拉提，越练越薄，轻松拥有美人肩背！,245000,72000,8527,45000,3,1,1,0,26,['5分钟']
152,一周见效急速燃脂运动 适合学生党上班族的运动 每天只需二十分钟  瘦腿/马甲线/塑形 b站最全运动合集 一个月瘦十斤,243000,46000,6082,36000,1,0,0,0,58,
153,快速矫正O型腿！小腿外翻！肌肉腿！在家就能做，坚持一周，每天20分钟就见效！,242000,84000,4711,16000,2,4,1,0,38,['20分钟']
154,5分钟燃脂挑战·全程站立·无需道具,242000,219000,15000,26000,1,0,1,0,17,['5分钟']
155,#MY FITNESS VLOG3#手机云台试用#吃#练胸（杠铃/哑铃卧推/ 绳索夹胸 /斜推杠铃片/ 器械推胸）LOVE&amp; PEACE,242000,15000,2896,4247,0,5,0,0,72,
156,【4分钟极速燃脂】高效全身燃脂—肥宅专属—1周见效,240000,95000,18000,38000,1,2,2,0,25,"['4分钟', '1周']"
157,美女教你怎么拥有一双美腿【絶対】美脚になりたきゃこれを見ろ（美脚）,240000,1185,1731,7570,1,2,0,1,33,
158,健美鹿神，中国肌肉巨兽鹿晨辉展示肌肉,239000,15000,151,108,1,0,0,0,18,
159,【减脂备餐】100元吃7天共21顿减脂食谱•核能警告,239000,74000,16000,17000,1,2,3,0,26,"['100元', '7天共', '21顿']"
160,刚健身的初学者必看福利，简单五个动作快速练出六块腹肌,239000,15000,11000,31000,1,0,0,0,26,
161,【伪健（mai）身（rou）番！实则战斗番！——《健身少女》硬核追番06】引体用甩的不标准？那是你的问题不是甩的问题,239000,464000,12000,1989,4,5,1,1,58,['06】']
162,【终极瘦腿教程】走路瘦腿方案，让你走着走着腿就细了,238000,143000,7831,15000,0,2,0,0,25,
163,【Thenx】每天早晨做这个流程来塑形,235000,104000,9143,27000,0,2,0,0,19,
164,【人鱼线？别再做这个动作了！——《健身少女》追番指南7/8】七八集连看！集齐了7个健身少女，请叫我杨爵爷,234000,464000,12000,2120,0,5,3,1,52,"['7/', '8】', '7/']"
165,舍宾太美了，天使与魔鬼的结合,233000,5253,1175,4684,2,0,0,0,14,
166,经常健身的人和不经常健身的人，有没有这种感觉,233000,19000,2574,952,0,0,0,0,22,
167,减肥等于整容，看完这些逆袭，你还在等什么？,232000,439,1120,2322,0,1,0,1,21,
168,"10 Minute Thighs Gap &amp; Butt Workout, Beautiful Ballet Flexibility Exercises",232000,9500,2417,8182,0,1,0,0,79,
169,Jeff：让你永无腰间赘肉,227000,3973,3158,13000,0,0,0,0,13,
170,【练腹到底收腹还是粗腰？——杨老师《健身少女》硬核追番05】这一集怕不是要被河蟹……内含真人版OP！,227000,464000,16000,3804,1,4,1,1,50,['05】']
171,男友天天去健身房 原来里面小姐姐都长这样 「cool」,226000,14000,2272,5788,0,0,0,0,27,
172,两肌肉男在监控下面大打出手，这个世界到底怎么了？,226000,27000,3068,1184,0,1,0,1,24,
173,男生能否自然促睾？6种方法自然提升你的雄性激素,225000,1434000,14000,4042,3,1,1,1,23,['6种']
174,Power Big Booooty Workout 臀部训练动作合集,225000,46000,2803,9827,1,0,0,0,34,
175,【超易瘦腿】12分钟瘦腿快速入门大法，简单降低体脂率，练成大蜜腿,224000,457000,8172,15000,1,2,1,0,32,['12分钟']
176,佛的我不想加标题，猫跟我都翻白眼,223000,131000,947,843,0,0,0,0,16,
177,奥马哈pro女子健美冠军。看完觉得奥林匹亚取消女子健美挺好的。,221000,880,893,812,4,0,0,0,31,
178,每天早上做这套训练，让你燃脂一整天。,221000,15000,7563,26000,1,0,0,0,18,
179,还账第一天，每天500,220000,2570,3607,332,0,0,1,0,11,
180,【制定减脂计划的第一步】你不是减不下来，你只是不会减脂,220000,132000,7036,11000,2,2,0,0,27,
181,【如何减掉腰腹部脂肪】瘦出腹肌马甲线，你该知道的正确做法和心态。,219000,143000,6408,8999,3,2,0,1,32,
182,大基数减掉四十多斤，这不是血泪史，一些减肥干货经验分享,217000,6114,5209,8186,2,0,0,0,27,
183,濑户大也夺到金牌后接受采访，他真的太可爱了惹！,216000,6993,1125,3004,3,1,0,0,23,
184,《500个超标准俯卧撑》，不服就干，1赞=10个俯卧撑,215000,2570,28000,1222,0,0,3,0,27,"['500个', '1赞', '10个']"
185,85kg佛系硬拉，120kg臀推，22.5哑铃划船，45kg下拉。状态还好,214000,131000,1318,2028,0,0,1,0,37,['225哑铃']
186,体脂率达到1％的男人是什么样子的！8分30秒令人震惊！,212000,49000,748,871,1,2,3,0,27,"['1％', '8分', '30秒']"
187,八块腹肌之地狱腹肌挑战（法师带你练腹肌，零基础到强化，半个小时高强度训练）,211000,17000,3659,8986,2,0,0,0,37,
188,真实！这是不是 你发现 蛋白粉喝完了的时候的样子       「搞笑健身」系列,210000,14000,2145,1164,1,1,0,0,39,
189,暑假吃太多胖了????跟我一起減！居家簡單0器材運動,208000,43000,3410,5497,1,5,1,1,26,['0器材']
