0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
108,女生看了3秒就想做我老婆的妆容,412000,866000,32000,5964,0,0,1,0,15,['3秒']
109,星星眼养成记丨告别肿泡熬夜眼 不动手术内双变外双,410000,238000,6342,22000,0,0,0,0,24,
110,挑战--体验当地评分最低化妆店，想要孟美岐新单曲妆，竟意外化出品如？？？椰丝皮儿,409000,9827,3959,890,3,5,0,1,40,
111,【Benny】轻松护肤～让本宫觉得贵的鸡肋吐槽+好用新品推荐,409000,1531000,24000,2657,2,3,0,0,30,
112,27 款成人防晒霜评测，干货全在这里！,408000,994000,34000,19000,0,1,1,0,19,['27款']
113,一位女大学生拥有的所有口红了！ | 日常 | 显白 | 学生党,401000,7320,5470,13000,1,4,0,0,31,
114,【言生】银老板COS 明日方舟 银灰,394000,590000,27000,12000,0,2,0,0,18,
115,半面妆饰品系列之妆容展示，凤凰怎么上头的？看彩蛋哦,391000,240000,25000,9296,1,1,0,1,25,
116,大脸妹子剪完这款发型脸变小一圈，堪比换脸，网友评论：风一吹就打回原形！,390000,31000,1425,1524,0,1,0,0,35,
117,原创七宗罪妆容：粉色系梦幻“骄傲”妆教程,389000,192000,26000,19000,1,0,0,0,20,
118,眼镜妆超详细干货技巧！500+度眼镜也不能让我变丑 | 大果子,389000,571000,20000,26000,4,2,1,0,31,['500+']
119,MAC尤雾弹316&amp;314|柔雾小辣椒or白桃奶茶？|热门口红试色|学生党|种草,388000,21000,1893,1462,0,6,1,1,44,['316&']
120,教程：「肿单」可拥有的「6种」眼皮，随心所欲的百变单眼皮！,388000,1407000,39000,35000,1,1,1,0,29,['6种']
121,（女装大佬）答应我这是最后一次给你撑场子,386000,15000,2606,1544,1,0,0,0,20,
122,【全干货|此刻不看完，余生悔断肠！价值万元的专业保姆级双眼皮贴教程！】『Retin Du 杜哥』,384000,43000,17000,29000,0,5,0,0,48,
123,【狗君】哪吒之魔童降世：申公豹COS仿妆,383000,120000,37000,13000,0,2,0,0,20,
124,【仿妆】拥有双手你也可以做藕霸，我命由我不由天，留守老人的热情呐喊,380000,1478,25000,4386,3,2,0,0,33,
125,【Benny】8小时大制作，灵笼脊蛊仿妆，请叫我脊蛊女王～,380000,1531000,30000,4084,0,3,1,0,29,['8小时']
126,熬过这三个阶段你就是长发男！！！,379000,21000,6745,4748,0,3,0,0,16,
127,长在皮肤的垃圾,379000,197,108,99,1,0,0,0,7,
128,盘一盘李宣美颜值飞升背后的小动作，手把手教你换头成宣美,377000,35000,11000,9079,0,0,0,0,27,
129,夏天一定要学会这个低马尾！简直不要太撩人！,377000,28000,15000,28000,4,2,0,0,21,
130,[双语]50万拍卖下奥黛丽赫本用过的口红 嘴上沾满赫本的DNA,367000,15000,7549,6252,0,0,1,0,31,['50万']
131,【M·A·C x Vivekatt】夏天透气底妆：一颗绿豆大的粉底化全脸！,366000,1407000,14000,6428,0,3,0,0,37,
132,【鸭鸭】Taupe是仙女啊啊啊啊！3CE change mode和Taupe试色对比,364000,21000,1275,1359,1,3,0,0,42,
133,【Hania】瑕疵皮夏日持妆17h极限挑战 爬山 雨中竞走vlog 毕业快乐出游,363000,491000,10000,3653,3,2,0,0,40,
134,VLOG：一人行记录 去首尔的古着市场,360000,135000,6661,7664,0,0,0,0,19,
135,【吾蕊】五款简单易学的懒人编发！手残如我都可以学会你们肯定可以GET,360000,22000,23000,58000,3,3,0,0,34,
136,大佬甜er |经典回忆！「春光灿烂猪八戒」小龙女仿妆～,353000,957000,26000,4520,2,3,0,0,27,
137,【嫂】十分钟get日常可出门厌世脸|小松菜奈&amp;水原希子灵感妆 | 原来丧气眼才是放大眼睛的最终奥义,351000,2025000,23000,11000,2,5,0,0,53,
138,如何用6元店买的化妆品画出6000元的效果,347000,866000,22000,3927,0,0,2,1,21,"['6元店', '6000元']"
139,收快递一次收了100多个产品是什么感觉？！！,347000,1585000,14000,1431,0,3,1,1,22,['100多个']
140,去日本集齐“五大神水”是什么感受？检测费就花了1万多元！,346000,994000,40000,10000,0,2,1,1,28,['1万多元']
141,【方恰拉】肖战仿妆 男孩眉眼妆,345000,393000,20000,12000,0,2,0,0,15,
142,【Benny】近期公关包裹精彩开箱，竟然还有女式睡衣？好大的胆子！,345000,1531000,15000,1570,1,4,0,1,33,
143,【Benny】日常记录|在一些争议或风波中，也会徘徊和疑惑,345000,1531000,17000,1383,3,3,0,0,29,
144,【中字】J姐在线骚气讨债！把老娘50万的爱马仕铂金包还回来！！！,345000,305000,3249,1202,1,6,1,0,32,['50万']
145,【Benny】仙女带来MAC全新系列尤雾弹口红试色，清透活力，热夏来袭,344000,1531000,17000,2926,1,2,0,0,35,
146,【Benny】知名日系海淘品牌竟然给我寄打折货？一块钱四个？,344000,1531000,17000,1772,1,4,0,1,30,
147,【妮可】超平价底妆产品完成磨皮式水煮蛋妆效挑战！黑眼圈泪沟一网打尽 保姆级底妆大法教程 全程硬核干货,343000,594000,16000,19000,3,3,0,0,50,
148,【夹心姐姐】♡万用大眼洋娃娃妆♡〈少女感从何而来〉,343000,95000,15000,12000,0,2,0,0,25,
149,亲妈级别新手化妆教程2.0！纯干货！超简单返校开学必备！| 大果子,342000,571000,22000,37000,2,4,1,0,33,['20！']
150,129斤肥宅 化完妆穿上小裙子 直接逆袭！【华丽款小裙子 | 初体验】,341000,2025000,32000,8572,1,4,1,0,35,['129斤']
151,【热特效】99%人的都认为电影中的心脏是动物的，那你就错了真相竟然是？,341000,84000,5060,1744,1,3,0,1,35,
152,翻车染发，直播自闭。我需要静静！！！静静你在哪里？人生最失败的第一次×2,341000,20000,4655,459,2,4,1,1,36,
153,断货王| 不漂发显白的小红毛！爱茉莉7p,341000,13000,3829,5519,0,2,0,0,20,
154,为什么有人越防晒皮肤越差？6个关于防晒的灵魂拷问,338000,50000,13000,9529,1,1,1,1,24,['6个']
155,【曦彤】实用教学！3分钟变颜值主播！,338000,21000,16000,3208,1,4,1,0,18,['3分钟']
156,省钱向｜全脸298整妆待发 如何在残酷校园里夺得头牌【Hania】,337000,491000,17000,12000,1,2,1,1,33,['298整妆']
157,能让脸迅速小一圈的医美体验！热拉提全记录！【nya酱医美体验室】,335000,1388000,13000,2285,1,4,0,0,32,
158,我出眼影盘啦！！关于croxx+霹雳联名眼影盘醉酒人生你要知道的都在这里！！,334000,270000,13000,2564,1,4,0,0,38,
159,【新手向保姆级】胖仔变女神 | 荷尔蒙增加200％改变气质妆容 | 化妆工具详解,331000,2025000,23000,12000,2,4,1,0,40,['200％']
160,化成徐峥出门是什么体验？假光头真自闭,330000,66000,15000,2330,1,1,0,1,18,
161,已连涂三天! 石原里美的色号!!温柔的日落干枯玫瑰色~ (小金条11已热断T-T)这几天阿婆主火锅吃多 满嘴皮子溃疡... 苹果8无美滤后置拍摄 变色即删,329000,49000,1467,2304,2,5,2,0,77,"['11已热断', '8无美滤']"
162,轮廓手术三件套恢复期Vlog | 整容磨骨削骨记录分享,329000,28000,5314,1578,0,1,0,0,27,
163,【Benny】公关包裹开箱，这些甲方真是越来越放肆了，听本宫好好吐槽吐槽,326000,1531000,22000,3005,1,2,0,0,36,
164,CROXX 黑山羊颂歌系列：夸奖、吐槽、中肯评价，一个都不少-国货不行就要认vol.6,320000,14000,2240,567,2,1,0,0,43,
165,【党妹】我要告诉全世界！党妹最美！女神成长记！130视频混剪,319000,4569,22000,9679,2,5,1,0,30,['130视频']
166,【九玖酱】Room tour/参观我们的家！Benny不在家偷用他的24k金娇兰面霜是一种什么样的体验。,317000,294000,10000,2093,0,3,0,0,52,
167,救命！土到窒息的口红色号测评，请病假必买，比死亡芭比粉还可怕！,317000,114000,22000,4163,4,2,0,0,31,
168,告诉我！Ruby Woo是不是你心底的白月光？？,316000,42000,1597,1562,0,3,0,1,24,
169,【大盒】全程干货！冷色眼影的正确打开方式全在这里啦！！,314000,219000,11000,8440,1,5,0,0,27,
170,真贫民窟学生党女孩必备了！4元一颗的眼影imagic梦回童年系列眼影盘首测！,311000,189000,11000,9468,0,2,1,0,38,['4元']
171,价值4000块的明星化妆师体验 | 法国小哥哥给我化“欧美妆”，结果…,310000,616000,8793,1106,0,1,1,0,35,['4000块']
172,宅男大变身！男人认真起来到底能帅成什么样！,308000,2447000,21000,4023,1,2,0,0,21,
173,被广告图骗了！太辣鸡了真的别买！！姐妹们有这个钱去喝奶茶吃麻辣烫吧！！,308000,177000,2754,575,1,5,0,0,35,
174,人生高光时刻！我被央视爸爸采访了！,307000,994000,27000,3516,0,2,0,0,17,
175,黑人的时尚是从小就养成的！,305000,5022,970,570,0,1,0,0,13,
176,吴依霖干货！大部分人不适合中分！偏分分线应该怎么选择【不准不漂亮】,305000,186000,2067,7462,3,4,0,1,33,
177,【栗老师】分享从我第一个视频就一直用，618彩妆生活购物推荐！内含128斤/156cm穿搭,305000,798000,7973,3135,1,3,2,0,45,"['618彩妆', '128斤']"
178,地表最强防晒？安耐晒七款防晒产品大评测！,303000,994000,33000,11000,0,2,0,1,20,
179,跟着「泰国本地高中生」买彩妆！好用还是翻车？,301000,1407000,15000,1898,0,2,0,1,22,
180,【韩国专业彩妆师的高级底妆秘密】 好多超有用的Tips,300000,143000,4512,15000,4,2,0,0,27,
181,【潘白雪s】GRWM | 日常玫瑰系妆容,299000,35000,4155,7381,0,3,0,0,20,
182,Kkyuu 从素颜到美妆,299000,735,1482,4720,0,0,0,0,12,
183,【黑珍珠】健康肌女孩的惊艳妆容/黑皮+荧光色贼绝美！,299000,191000,13000,4241,1,3,0,0,26,
184,"Mac这支细闪梅子色的试色太少了,宝藏色号!!",299000,49000,1159,1517,1,2,0,0,23,
185,我心中最好的&amp;最差的13支平价粉底液测评！【13支平价粉底合集】❤️（*纯个人心得*不喜勿喷啦啦啦 ）,298000,961000,9477,4383,1,6,2,0,55,"['13支', '13支']"
186,这真的是一条hin贵的视频！！我的妈呀我居然收到了这个牌子送的礼物？真的是太惊喜了~,295000,722000,13000,4191,2,4,0,1,42,
187,【黑历史仿妆】八年前最in妆容大赏！非主流的mini vlog |外加近期护肤分享|,292000,2025000,25000,7246,0,5,0,0,42,
188,学生党化妆自救丑陋素颜！！不做肥宅眼睛妹！,292000,3458,8628,2086,1,3,0,0,21,
189,我的口红最爱前8名&amp;新相机型号（2019上半年）,292000,875000,9399,3425,0,1,2,0,28,"['8名', '2019上半年']"
190,60元湿又野粉条10小时高清实测|脱毛仪反馈,291000,22000,2592,1495,0,1,2,0,22,"['60元湿', '10小时']"
191,【吉阿星】摸仙姐妹上线，与croxx联名双笙并蒂眼影盘全解析,289000,382000,8707,1353,0,2,0,0,30,
192,【栗老师】被叫做幻影坦克？那我就好好减肥吧||此视频已开光，看一次瘦一斤,289000,798000,12000,1778,1,5,0,1,36,
193,就是热啊✖️croxx联名眼影盘最终揭秘！概念配色全面解析,288000,232000,9596,2211,2,1,0,0,29,
194,【糖】毛戈平新出的底妆可以游泳，真的假的啊？深海冒险粉膏+光感柔润蜜粉,287000,11000,20000,4506,2,3,0,1,35,
195,小猪姐姐！！狗血神剧《吹落的树叶》女主仿妆,287000,932000,8472,3111,0,2,0,0,21,
196,【中字| 韩国美妆品牌romand创始人教你最全面的口红涂法！】新手干货保姆集教程！唇部起皮怎么处理？唇部打底如何画？哑光、水润、丝绒质地口红如何涂？,285000,41000,8231,24000,2,8,0,1,75,
197,【JUCY】韩国网络漫画《喜欢我的小柿子》男主妆容,283000,486000,14000,20000,1,2,0,0,25,
198,◆袖袖◆ 最适合亚洲人的高光指南 | 扁平脸福音,282000,176000,9645,22000,1,1,0,0,24,
199,【妮可】吟游中世纪，异域复古油画少女妆 | 集市童话系 | 超减龄！,281000,594000,25000,22000,1,5,0,0,34,
200,终于不是肿眼泡了！双眼皮失败后的三年修复之路，关于双眼皮的干货！,280000,382000,15000,7272,2,2,0,0,32,
