0,title,view,follows,likes,collects,senti_result,punc_result,num_of_numbers,is_question,total_char,num_phrase
92,【朱一旦】34 无聊的周一，做了一个有意思的决定,2789000,2550000.0,68000.0,9194.0,2,2,1,0,24,['34无聊']
93,影 流 之 妻,2764000,266.0,3073.0,2460.0,0,0,0,0,7,
94,【朱一旦】46 暴发户来帮我打理公司，然后拐走了十佳员工，亏了,2759000,2549000.0,65000.0,5917.0,0,2,1,0,31,['46暴发户']
95,令人喷饭的“搅屎棍”，我们是专业的，从来不会笑，除非忍不住……噗，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2755000,5836000.0,134000.0,33000.0,13,0,0,0,80,
96,【朱一旦】41 今天你牵挂的人在身边吗？,2753000,2549000.0,75000.0,10000.0,1,3,1,1,20,['41今天']
97,【朱一旦】44 旦我拍了部硬科幻！敬请期旦！,2728000,2548000.0,64000.0,4890.0,0,4,1,0,22,['44旦']
98,挑战在美国无人超市里“偷”东西，会有什么后果？,2719000,3845000.0,124000.0,13000.0,3,1,0,1,23,
99,你永远不知道，出来校门的女生长什么样,2701000,729.0,5946.0,3450.0,1,0,0,0,18,
100,【朱一旦】53 他走进了高端车行，仿佛看到了为我努力卖命的样子,2677000,2549000.0,58000.0,3816.0,1,2,1,0,31,['53他']
101,在一声声靓仔中迷失了自我,2667000,9485.0,134000.0,75000.0,1,0,0,0,12,
102,1000*10000粉丝UP主们互相整蛊！！中国boy掌控全场！！,2651000,,139000.0,31000.0,0,5,2,0,33,"['1000*', '10000粉丝']"
103,乔碧萝直播翻车（完整版）,2649000,945.0,15000.0,14000.0,0,0,0,0,12,
104,【朱一旦】51 我放置着咖啡店长，而店长放置咖啡店,2633000,2550000.0,61000.0,4582.0,0,2,1,0,25,['51我']
105,硬核发明：防黄眼镜,2620000,1280.0,99000.0,55000.0,0,0,0,0,9,
106,这就是你平时连矿泉水瓶子都拧不开的女朋友,2599000,3966.0,11000.0,2364.0,0,0,0,0,20,
107,好可爱啊！真想给他一梭子,2595000,169.0,12000.0,4666.0,2,1,0,0,12,
108,周淑怡看自己AI换脸法克儿！！！,2563000,22000.0,9243.0,4499.0,0,3,0,0,16,
109,【前方高能】战争游戏，打仗都能造假！,2542000,1286000.0,263000.0,70000.0,3,3,0,0,18,
110,【朱一旦】45 旦我出差归来，不知公司还在不在，值得期待！,2484000,2550000.0,48000.0,3287.0,3,3,1,0,29,['45旦']
111,cosplay月下三柱男的舞蹈,2472000,694.0,82000.0,51000.0,0,0,0,0,15,
112,【朱一旦】52 想去打一场精彩的篮球，却意外的发现了一个商机,2460000,2550000.0,61000.0,4483.0,1,2,1,0,30,['52想']
113,我等了两年半年终于等到了那个买茶的叶的女人,2433000,12000.0,113000.0,31000.0,0,0,0,0,21,
114,【朱一旦】56 八月的最后，定了一个小目标——攻城掠地！,2417000,2550000.0,47000.0,2705.0,0,3,1,0,28,['56八月']
115,路人居然夸我女装好看！30*10000粉丝就膨胀了，居然敢发这种视频了【自闭羞耻挑战】,2409000,557000.0,70000.0,19000.0,5,4,2,0,43,"['30*', '10000粉丝']"
116,妈妈眼中的美女、爸爸眼中的美女、我眼中的美女,2408000,5846.0,72000.0,16000.0,0,0,0,0,22,
