link,title,view,danmu,author
https://www.bilibili.com/video/av65039669,【红黑榜】近半年用过的护肤分享||适用于毛孔粗大 内干外油 换季易敏感肤质,42.2万,4452,宝剑嫂
https://www.bilibili.com/video/av56781034,脑壳给你笑掉！！《西游记》金角银角大王仿妆！！【TreeTree吴】,42.2万,5604,TreeTree吴
https://www.bilibili.com/video/av65764360,彻底断糖有多可怕？一周皮肤就有超猛烈效果！附五年战痘血泪史&amp;医美及日常护肤分享,42.2万,588,拜拜小棉袄
https://www.bilibili.com/video/av55238433,我买了美少女战士眼线笔！！近期购物分享！【nya酱】,41.8万,6849,nya酱的一生
https://www.bilibili.com/video/av58477866,当一个村姑化妆之后...！！日常易容术GRWM（不是妆教，赶时间画的不是很仔细）,41.8万,1931,Vivekatt
https://www.bilibili.com/video/av58784465,【互动视频】帮我化妆 | 化妆游戏,41.5万,3751,MTkoala
https://www.bilibili.com/video/av57800087,父母一直都极力支持我整容 起初我还挺高兴 后来才意识到他们也是嫌我丑的不能看。。。亲生的吗？,41.2万,147,待蝶化美人
https://www.bilibili.com/video/av58469540,女生看了3秒就想做我老婆的妆容,41.2万,2.9万,一之濑asuka
https://www.bilibili.com/video/av54630957,星星眼养成记丨告别肿泡熬夜眼 不动手术内双变外双,41.0万,530,绒漠漠不扎针
https://www.bilibili.com/video/av59053146,挑战--体验当地评分最低化妆店，想要孟美岐新单曲妆，竟意外化出品如？？？椰丝皮儿,40.9万,2528,椰子皮er
https://www.bilibili.com/video/av64202978,【Benny】轻松护肤～让本宫觉得贵的鸡肋吐槽+好用新品推荐,40.9万,4987,千户长生
https://www.bilibili.com/video/av61246616,27 款成人防晒霜评测，干货全在这里！,40.8万,919,老爸评测
https://www.bilibili.com/video/av57638965,一位女大学生拥有的所有口红了！ | 日常 | 显白 | 学生党,40.1万,404,一颗桃唧
https://www.bilibili.com/video/av58055420,【言生】银老板COS 明日方舟 银灰,39.4万,2245,夙胤魔尊言生生
https://www.bilibili.com/video/av60969116,半面妆饰品系列之妆容展示，凤凰怎么上头的？看彩蛋哦,39.1万,1295,雁鸿Aimee
https://www.bilibili.com/video/av58452860,大脸妹子剪完这款发型脸变小一圈，堪比换脸，网友评论：风一吹就打回原形！,39.0万,299,知名发型师可乐店长
https://www.bilibili.com/video/av62891865,原创七宗罪妆容：粉色系梦幻“骄傲”妆教程,38.9万,3269,anzujaamu
